Severity	Code	Description	Project	File	Line	Suppression State	Details
Error	CS0102	The type 'SettingsControl' already contains a definition for 'SlipXGamma'	SimHap	D:\my\SimHub\PluginSdk\SimHap\settingscontrol.xaml	367	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'SlipXGammaAll'	SimHap	D:\my\SimHub\PluginSdk\SimHap\settingscontrol.xaml	360	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'SlipXMult'	SimHap	D:\my\SimHub\PluginSdk\SimHap\settingscontrol.xaml	354	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'SlipXMultAll'	SimHap	D:\my\SimHub\PluginSdk\SimHap\settingscontrol.xaml	347	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'SlipYGamma'	SimHap	D:\my\SimHub\PluginSdk\SimHap\settingscontrol.xaml	401	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'SlipYGammaAll'	SimHap	D:\my\SimHub\PluginSdk\SimHap\settingscontrol.xaml	394	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'SlipYMult'	SimHap	D:\my\SimHub\PluginSdk\SimHap\settingscontrol.xaml	388	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'SlipYMultAll'	SimHap	D:\my\SimHub\PluginSdk\SimHap\settingscontrol.xaml	381	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'SuspensionGamma'	SimHap	D:\my\SimHub\PluginSdk\SimHap\settingscontrol.xaml	310	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'SuspensionGammaAll'	SimHap	D:\my\SimHub\PluginSdk\SimHap\settingscontrol.xaml	303	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'SuspensionMult'	SimHap	D:\my\SimHub\PluginSdk\SimHap\settingscontrol.xaml	297	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'SuspensionMultAll'	SimHap	D:\my\SimHub\PluginSdk\SimHap\settingscontrol.xaml	290	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'UpshiftDurationMs'	SimHap	D:\my\SimHub\PluginSdk\SimHap\settingscontrol.xaml	91	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'Version'	SimHap	D:\my\SimHub\PluginSdk\SimHap\settingscontrol.xaml	142	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for '_contentLoaded'	SimHap	D:\my\SimHub\PluginSdk\SimHap\obj\Debug\settingscontrol.g.cs	445	N/A	
Error	CS0111	Type 'SettingsControl' already defines a member called 'InitializeComponent' with the same parameter types	SimHap	D:\my\SimHub\PluginSdk\SimHap\obj\Debug\settingscontrol.g.cs	452	N/A	
Error	CS0111	Type 'SettingsControl' already defines a member called 'System.Windows.Markup.IComponentConnector.Connect' with the same parameter types	SimHap	D:\my\SimHub\PluginSdk\SimHap\obj\Debug\settingscontrol.g.cs	472	N/A	
